,title,budget,revenue,runtime,movie_id,genre
4367,Deathgrip,0,0,53,464000,"Documentary,"
4368,Deewangee,0,0,156,78827,"Romance,Drama,"
4369,Defying the Nazis: The Sharps' War,0,0,90,252451,"Documentary,"
4370,Delirium,0,0,96,340601,"Thriller,Horror,"
4371,Democrats,0,0,100,306342,"Documentary,"
4372,Den of Thieves,30000000,80509622,140,449443,"Action,Thriller,Crime,"
4373,Denis Leary: No Cure For Cancer,0,0,62,26797,"Comedy,"
4374,Desolate,0,0,86,613844,"Drama,"
4375,Desolation,250000000,958400000,161,57158,"Fantasy,Adventure,Action,"
4376,Detention Letter,0,0,100,463905,"Action,Crime,Thriller,"
4377,Detour,30000,0,66,20367,"Drama,Thriller,"
4378,Deviant Love,0,0,86,631021,"Thriller,TV Movie,"
4379,Devil's Bride,3100000,0,108,408194,"Drama,History,"
4380,Devil's Gate,0,0,94,355193,"Thriller,Horror,Science Fiction,"
4381,Devrai,0,0,108,507884,
4382,Dhamaal,0,0,140,144028,"Comedy,Drama,"
4383,Di Renjie zhi Sidatianwang,0,84168923,132,506763,"Mystery,Fantasy,Adventure,Action,"
4384,Diana: 7 Days That Shook the World,0,0,93,468809,"Documentary,"
4385,Diana: In Her Own Words,0,0,113,469980,"Documentary,"
4386,Diary of a Chambermaid,0,0,91,45212,"Drama,Romance,"
4387,Die Another Day,140000000,431971116,133,36669,"Adventure,Action,Thriller,"
4388,Dil Hai Tumhaara,0,0,185,175614,"Drama,Romance,"
4389,Dinner for Schmucks,69000000,86387857,114,38778,"Comedy,"
4390,Disciples Of The 36th Chamber,0,0,89,50571,"Action,"
4391,Discovering Bigfoot,0,0,110,483755,"Documentary,"
4392,Dismissed,0,0,87,398588,"Thriller,Horror,"
4393,District 9,30000000,210819611,112,17654,"Science Fiction,"
4394,Doctor Zhivago,11000000,111858363,200,907,"Drama,Romance,War,"
4395,Dog Eat Dog,0,80,93,354979,"Drama,Crime,Thriller,"
4396,Dolphin Kick,0,0,90,582902,"Adventure,Family,"
4397,Dolphin Tale 2,36000000,52424533,107,227735,"Family,Drama,"
4398,Domino,7800000,0,89,455957,"Thriller,Action,Crime,"
4399,Don Quixote: The Ingenious Gentleman of La Mancha,0,0,83,316785,"Family,Fantasy,Adventure,Drama,"
4400,Don Verdean,0,31309,96,309298,"Comedy,"
4401,Don't Be Afraid of the Dark,25000000,36993168,99,46261,"Fantasy,Horror,Thriller,"
4402,Don't Crack Under Pressure,0,0,90,708322,"Documentary,"
4403,Don't Crack Under Pressure II,0,0,88,638226,"Documentary,"
4404,Don't Crack Under Pressure III,0,0,90,708322,"Documentary,"
4405,Don't Knock Twice,0,0,93,420245,"Horror,"
4406,Don't Look Down,0,0,90,58752,"TV Movie,Horror,Thriller,"
4407,Don't Think Twice,0,4417667,90,356298,"Comedy,Drama,"
4408,Donnie Brasco,35000000,124909762,127,9366,"Crime,Drama,Thriller,"
4409,Doom,60000000,58072119,105,8814,"Action,Horror,Science Fiction,"
4410,Doubles Cause Troubles,0,0,93,402216,"Comedy,"
4411,Doubt,20000000,50907234,104,14359,"Drama,"
4412,Down The Fence,0,0,94,500295,"Documentary,"
4413,Dr. Seuss' The Cat in the Hat,0,0,25,43580,"TV Movie,Animation,Family,"
4414,Dr. Seuss' The Grinch,0,0,83,762951,"Family,Music,"
4415,Dragonheart,0,0,97,666750,"Fantasy,Action,Adventure,"
4416,Dragonheart 3: The Sorcerer,0,0,97,300803,"Fantasy,"
4417,Dragonheart: A New Beginning,0,0,84,10473,"Fantasy,Adventure,"
4418,Dragonheart: Battle for the Heartfire,0,0,98,451644,"Fantasy,Adventure,"
4419,Dragonkala Ka Rahasya,,,,,
4420,Dream Big: Engineering Our World,0,0,42,442033,"Documentary,"
4421,Dream Boat,0,0,92,442712,"Documentary,"
4422,Dries,0,0,90,450941,"Documentary,"
4423,Driven to Dance,0,0,98,526775,"Drama,"
4424,Dukhtar,46000,120000,93,287594,"Drama,Thriller,"
4425,Dum,0,0,125,1051508,"Comedy,Crime,Romance,"
4426,Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515,85,10152,"Comedy,"
4427,E-Cigarettes: Miracle or Menace?,,,,,
4428,Earth to Echo,13000000,45300000,89,238603,"Family,Adventure,Science Fiction,"
4429,East Side Sushi,0,0,100,257245,"Drama,"
4430,Easy A,8000000,75026327,93,37735,"Comedy,"
4431,Eat Pray Love,60000000,204594016,133,38167,"Drama,Romance,"
4432,Eddie Murphy: Delirious,0,0,69,15251,"Comedy,TV Movie,"
4433,Eeda,0,126500,152,496321,"Romance,Drama,"
4434,Eh Janam Tumhare Lekhe,0,0,135,321675,"Documentary,"
4435,Ek Cup Chya,0,0,119,299841,"Drama,"
4436,Ek Hasina Thi,0,0,120,135199,"Crime,Romance,Thriller,Action,"
4437,El último testigo,0,0,106,148873,"Action,Drama,Thriller,"
4438,El Che,0,0,119,489741,"Documentary,History,"
4439,El fin de ETA,0,0,107,451329,"Documentary,History,"
4440,El Viaje: Márama y Rombai,0,0,79,529674,"Documentary,Music,"
4441,Elephants Dream 4 Hour,,,,,
4442,Elizabeth at 90: A Family Tribute,0,0,70,429236,"Documentary,"
4443,Elizabeth Harvest,0,4973,105,457041,"Science Fiction,Thriller,Horror,Mystery,"
4444,Elles étaient en guerre (1914-1918),0,0,95,496302,"Documentary,"
4445,Elles étaient en guerre 1939-1945,0,0,91,497182,"Documentary,War,History,"
4446,Elles ont toutes une histoire,0,0,49,529681,
4447,Elstree 1976,370000,0,90,322506,"Documentary,"
4448,Emelie,0,0,82,329010,"Horror,Thriller,"
4449,Emma' (Mother),,,,,
