,title,director,cast,country,release_year,rating,budget,revenue,runtime,movie_id,genre,streaming
106,The Car: Road to Revenge,G.J. Echternkamp,"Grant Bowler, Kathleen Munroe, Martin Hancock, Micah Balfour, Burt Grinstead, Nina Bergman, Jamie Bamber, Ronny Cox",United States,2019,R,0.0,0.0,89.0,573560.0,"Action,Horror,Thriller,Science Fiction,",Netflix
107,Die Ontwaking,Johnny Breedt,"Gys de Villiers, Juanita de Villiers, Gérard Rudolf, Paul Eilers, Pete Spyropoulos, Jaco Muller, Armand Aucamp, Christine Tesco",South Africa,2015,R,0.0,15462.0,97.0,406490.0,"Thriller,Crime,Horror,",Netflix
108,Deadcon,Caryn Waechter,"Lauren Elizabeth, Claudia Sulewski, Keith Machekanyanga, Mimi Gianopulos, Lukas Gage, Carl Gilliard, Caeli, Mark Dohner, Jessie Paege, Richard Kohnke, Dominic Burgess, Judah Mackey",United States,2019,PG-13,0.0,0.0,78.0,607072.0,"Horror,",Netflix
109,Ghost Stories,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","Janhvi Kapoor, Sobhita Dhulipala, Sukant Goel, Gulshan Devaiah, Mrunal Thakur, Avinash Tiwary, Vijay Varma, Sagar Arya, Surekha Sikri, Pavail Gulati",India,2020,R,0.0,135095.0,98.0,429417.0,"Horror,Drama,",Netflix
110,Doom: Annihilation,Tony Giglio,"Amy Manson, Dominic Mafham, Luke Allen-Gale, James Weber Brown, Clayton Adams, Nina Bergman, Amer Chadha-Patel, Gavin Brocker, Chidi Ajufo, Hari Dhillon, Katrina Nare",United States,2019,R,0.0,0.0,97.0,520901.0,"Action,Science Fiction,Horror,Mystery,",Netflix
111,Sweetheart,J.D. Dillard,"Kiersey Clemons, Emory Cohen, Hanna Mangan Lawrence, Andrew Crawford, Benedict Samuel",United States,2019,PG-13,0.0,0.0,103.0,532870.0,"Thriller,Horror,",Netflix
112,Jacob's Ladder,David M. Rosenthal,"Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet, Joseph Sikora, Karla Souza, Ritchie Coster, Jon Eyez",United States,2019,R,25000000.0,26118851.0,113.0,2291.0,"Drama,Mystery,Horror,",Netflix
113,It Comes at Night,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough, Kelvin Harrison Jr., David Pendleton, Griffin Robert Faulkner",United States,2017,R,5000000.0,19280931.0,91.0,418078.0,"Drama,Horror,Mystery,",Netflix
114,The Green Inferno,Eli Roth,"Ignacia Allamand, Daryl Sabara, Nicolás Martínez, Lorenza Izzo, Ariel Levy, Magda Apanowicz, Sky Ferreira, Kirby Bliss Blanton, Aaron Burns, Ramón Llao, Richard Burgi","United States, Chile",2013,R,5000000.0,12666449.0,100.0,171424.0,"Horror,Thriller,Adventure,",Netflix
115,Shadow,Zhang Yimou,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu","China, Hong Kong",2018,PG-13,0.0,1025190.0,83.0,675327.0,"Horror,Action,War,",Netflix
116,Rattlesnake,Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell, Apollonia Pratt, Debrianna Mansini, Bruce Davis",United States,2019,R,0.0,0.0,85.0,560362.0,"Thriller,Drama,Mystery,Horror,",Netflix
117,Revenge of the Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Nam Ron, Tony Eusoff, Wan Hanafi Su","Singapore, Malaysia",2019,PG-13,0.0,0.0,93.0,621681.0,"Horror,Romance,",Netflix
118,Eli,Ciarán Foy,"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",United States,2019,R,0.0,0.0,98.0,483202.0,"Horror,",Netflix
119,Sinister 2,Ciarán Foy,"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco","United States, United Kingdom",2015,R,10000000.0,53329150.0,97.0,283445.0,"Horror,",Netflix
120,In the Tall Grass,Vincenzo Natali,"Patrick Wilson, Laysla De Oliveira, Avery Whitted, Harrison Gilbertson, Rachel Wilson, Will Buie Jr.","Canada, United States",2019,R,0.0,0.0,102.0,523139.0,"Horror,Drama,Thriller,",Netflix
121,Watchman,A. L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,2019,PG-13,0.0,0.0,95.0,408612.0,"Drama,Thriller,Horror,",Netflix
122,Eerie,Mikhail Red,"Bea Alonzo, Jake Cuenca, Maxene Magalona, Charo Santos, Mary Joy Apostol, Gabby Padilla, Gillian Vicencio","Philippines, Singapore",2019,PG-13,0.0,0.0,101.0,522246.0,"Horror,Crime,Thriller,",Netflix
123,Girls With Balls,Olivier Afonso,"Victor Artus Solaro, Manon Azem, Louise Blachère, Tiphaine Daviot, Margot Dufrene, Anne-Solenne Hatte, Camille Razat, Dany Verissimo-Petit, Denis Lavant, Aurélien Cotentin, Mathieu Madénian, Thomas Vandenberghe","France, Belgium",2019,R,0.0,0.0,77.0,449684.0,"Horror,Comedy,",Netflix
124,The Midas Touch,Chi Keung Fung,"Chapman To, Charlene Choi, Gao Yunxiang, Shatina Chen, Alice Li, Jiayu Xie, Jiemeng Zhuang, Venus Wong, Ching-Wan Hui, Jennifer Zhang",Hong Kong,2013,PG-13,400000.0,0.0,109.0,777250.0,"Comedy,Horror,",Netflix
125,Inhuman Kiss,Sittisiri Mongkolsiri,"Phantira Pipityakorn, Oabnithi Wiwattanawarang, Sapol Assawamunkong, Surasak Vongthai, Sahatchai 'Stop' Chumrum, Sahajak Boonthanakit, Makorn Supinacharoen, Sasithorn Panichnok",Thailand,2019,R,1200000.0,0.0,122.0,587488.0,"Drama,Horror,Romance,",Netflix
126,Rakkhosh,"Abhijit Kokate, Srivinay Salian","Sanjay Mishra, Priyanka Bose, Tannishtha Chatterjee, Barun Chanda, Sonamoni Jayant Gadekar, Ashwath Bhatt, Atul Mahale",India,2019,R,0.0,0.0,113.0,586467.0,"Horror,",Netflix
127,The 3rd Eye 2,Rocky Soraya,"Jessica Mila, Bianca Hello, Nabilah Ayu, Sophia Latjuba, Jeremy Thomas",Indonesia,2019,R,0.0,0.0,115.0,573106.0,"Horror,Mystery,Thriller,",Netflix
128,The Perfection,Richard Shepard,"Allison Williams, Logan Browning, Steven Weber, Alaina Huffman, Mark Kandborg, Graeme Duffy",United States,2019,R,0.0,0.0,90.0,529962.0,"Horror,Thriller,Drama,",Netflix
129,Munafik 2,Syamsul Yusof,"Syamsul Yusof, Maya Karin, Nasir Bilal Khan, Rahim Razali, Fizz Fairuz, Fauzi Nawawi, Mawi, Ku Faridah",Malaysia,2018,R,0.0,0.0,104.0,544530.0,"Horror,",Netflix
130,Dabbe: The Possession,Hasan Karacadağ,"Cansu Kurgun, Irmak Örnek, A. Murat Özgen, Sultan Köroğlu Kılıç, Elçin Atamgüç, Sabriye Günüç, Furkan Bayraktar, Mehmet Canbeg, Oguzhan Kocakli",Turkey,2013,R,0.0,0.0,134.0,254712.0,"Horror,",Netflix
131,The Silence,John R. Leonetti,"Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter, John Corbett, Kyle Breitkopf, Dempsey Bryk, Billy MacLellan","Canada, Germany",2019,PG-13,0.0,2325977.0,91.0,527261.0,"Horror,Drama,Thriller,Fantasy,",Netflix
132,Suzzanna: Buried Alive,"Rocky Soraya, Anggy Umbara","Luna Maya, Herjunot Ali, Teuku Rifnu Wikana, Verdi Solaiman, Alex Abbad",Indonesia,2018,R,0.0,0.0,125.0,551300.0,"Horror,Drama,",Netflix
133,Jagat,Shanjey Kumar Perumal,"Harvind Raj, Jibrail Rajhula, Tinesh Sarathi Krishnan, Kuben Mahadevan, Senthil Kumaran Muniandy",Malaysia,2015,R,0.0,0.0,107.0,839828.0,"Horror,Fantasy,",Netflix
134,Mercy Black,Owen Egerton,"Daniella Pineda, Elle LaMont, Janeane Garofalo, Miles Emmons, Lee Eddy, Austin Amelio, Elke Boucher-Depew, Dylan Gage, Troy Anthony Hogan, Jamy Lentz",United States,2019,PG-13,0.0,200046.0,87.0,590164.0,"Horror,Mystery,Thriller,",Netflix
135,Danur: I Can See Ghosts,Awi Suryadi,"Prilly Latuconsina, Sandrinna Michelle, Shareefa Daanish, Indra Brotolaras, Kinaryosih, Inggrid Widjanarko, Asha Kenyeri Bermudez, Wesley Andrew, Kevin Bzezovski Taroreh, Gamaharitz",Indonesia,2017,R,0.0,0.0,74.0,450647.0,"Horror,",Netflix
136,Sei,Raj Babu,"Nakhul, Aanchal Munjal, Nassar, Prakash Raj, Thalaivasal Vijay, Manobala, Jeyan Cherthala, Annadurai Kannadasan",India,2018,PG-13,0.0,0.0,88.0,28055.0,"Horror,Mystery,Thriller,",Netflix
137,Imago,"Karan Shivajirao Chavan, Vikram Tanajirao Patil","Aishwarya Ghaydar, Amol Deshmukh, Adarsh Kurne, Vishwas Kamble, Neha Awati, Amaraja Patil, Rinkle Chopde, Shreyas Gurav",India,2018,PG,3700000.0,0.0,96.0,30449.0,"Horror,",Netflix
138,Paranormal Investigation,Franck Phelizon,"Andrei Indreies, Jean-Baptiste Heuet, Jose Atuncar, Pierre Porquet, Claudine Bertin, Gabriella Jordan, Effie Rey, Catalin Morar, Antoine Rodriguez","United States, France",2018,PG-13,0.0,0.0,92.0,585997.0,"Horror,Thriller,",Netflix
139,Await Further Instructions,Johnny Kevorkian,"Sam Gittins, Grant Masters, Neerja Naik, Abigail Cruttenden, Kris Saddler, Holly Weston, David Bradley",United Kingdom,2018,R,0.0,0.0,91.0,505063.0,"Mystery,Horror,Science Fiction,",Netflix
140,Velvet Buzzsaw,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",United States,2019,R,21000000.0,0.0,113.0,463684.0,"Thriller,Mystery,Horror,",Netflix
141,Hantu Kak Limah,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",Malaysia,2018,PG,0.0,0.0,111.0,544487.0,"Comedy,Horror,",Netflix
142,Animas,"Laura Alvea, José Ortuño","Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina","Spain, Belgium",2018,R,0.0,0.0,83.0,484436.0,"Thriller,Drama,Horror,",Netflix
143,Echcharikkai,Sarjun,"Sathyaraj, Varalakshmi Sarathkumar, Kishore Kumar G., Vivek Rajgopal, Jayakumar, Yogi Babu, Soundar, L. Alice",India,2018,PG-13,0.0,0.0,134.0,459377.0,"Crime,Thriller,Horror,",Netflix
144,The Doll,Rocky Soraya,"Shandy Aulia, Denny Sumargo, Sara Wijayanto, Vitta Mariana Barrazza, Demian Aditya, Faiza Mahnur, Hans Gunawan, Aslam Abad, Annette Edoarda, Wenty Mamenda",Indonesia,2016,R,0.0,0.0,106.0,416497.0,"Thriller,Horror,",Netflix
145,The Doll 2,Rocky Soraya,"Luna Maya, Herjunot Ali, Sara Wijayanto, Maria Sabta, Rydhen Afexi, Ira Ilva Sari, Shofia Shireen, Mega Carefansa, Wati Sudiyono, Princess Martinez",Indonesia,2017,R,0.0,0.0,116.0,460578.0,"Horror,Thriller,",Netflix
146,Nang Nak,Nonzee Nimibutr,"Inthira Charoenpura, Winai Kraibutr",Thailand,1999,R,0.0,0.0,111.0,44108.0,"Drama,Romance,Horror,",Netflix
147,Bad Seeds,Kheiron,"Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouff Wague, Mahia Zrouki, Joseph Jovanovic","France, Belgium",2018,R,0.0,0.0,57.0,427539.0,"Crime,Drama,Horror,",Netflix
148,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,2011,R,600000.0,1208479.0,78.0,107227.0,"Horror,",Netflix
149,The Tribe,Fernando Colomo,"Paco León, Carmen Machi, Luis Bermejo, Maribel del Pino, Maite Sandoval, Arlette Torres, Marisol Aznar, María José Sarrate, Manuel Huedo, Artur Busquets",Spain,2018,R,0.0,0.0,94.0,13489.0,"Horror,Thriller,Comedy,",Netflix
150,May the Devil Take You,Timo Tjahjanto,"Chelsea Islan, Pevita Pearce, Samo Rafael, Karina Suwandhi, Ray Sahetapy, Ruth Marini, Hadijah Shahab, Clara Bernadeth, Kinaryosih, Nicole Rossi",Indonesia,2018,R,0.0,0.0,110.0,524738.0,"Horror,Thriller,",Netflix
151,Errementari: The Blacksmith and the Devil,Paul Urkijo Alijo,"Kandido Uranga, Uma Bracaglia, Eneko Sagardoy, Ramón Agirre, Josean Bengoetxea, Gotzon Sánchez, José Ramón Argoitia, Gorka Aguinagalde, Iñigo de la Iglesia, Aitor Urtzelai","Spain, France",2018,R,0.0,0.0,98.0,477033.0,"Drama,Fantasy,Horror,",Netflix
152,Kuntilanak,Rizal Mantovani,"Sandrinna M Skornicki, Aurélie Moeremans, Fero Walandouw, Andryan Bima, Ciara Nadine Brosnan, Ali Fikry, Adlu Fahrezy, Nena Rosier, Naufal Ho, Aqi Singgih",Indonesia,2018,PG-13,0.0,0.0,105.0,524736.0,"Horror,Comedy,",Netflix
153,Tales From the Hood 2,"Rusty Cundieff, Darin Scott","Keith David, Bryan Batt, Alexandria Deberry, Bill Martin Williams, Martin Bats Bradford, Kendrick Cross, Jasmine Akakpo, Kedrick Brown",United States,2018,R,0.0,0.0,110.0,470614.0,"Horror,",Netflix
154,Seven in Heaven,Chris Eigeman,"Travis Tope, Haley Ramm, Jacinda Barrett, Gary Cole, Dylan Everett, Clark Backo, Vinson Tran, Paulino Nunes, Jeff Clarke",United States,2018,PG-13,0.0,0.0,94.0,500535.0,"Horror,",Netflix
155,Malevolent,Olaf de Fleur,"Florence Pugh, Ben Lloyd-Hughes, Celia Imrie, James Cosmo, Scott Chambers, Georgina Bevan",United Kingdom,2018,R,0.0,0.0,89.0,481375.0,"Horror,",Netflix
156,Truth or Dare,Nick Simon,"Cassandra Scerbo, Brytni Sarpy, Mason Dye, Harvey Guillen, Luke Baines, Ricardo Hoyos, Alexxis Lemire, Christina Masterson, Heather Langenkamp",United States,2017,R,3500000.0,95330493.0,101.0,460019.0,"Thriller,Horror,",Netflix
157,Agyaat,Ram Gopal Varma,"Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer",India,2009,PG-13,0.0,0.0,98.0,20507.0,"Horror,Mystery,",Netflix
158,The 3rd Eye,Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman",Indonesia,2018,R,0.0,0.0,3.0,695697.0,"Horror,",Netflix
159,Invisible,Pablo Giorgelli,"Mora Arenillas, Mara Bestelli, Diego Cremonesi","Argentina, France",2017,R,7000000.0,130234661.0,124.0,570670.0,"Thriller,Science Fiction,Horror,",Netflix
160,The Warning,Daniel Calparsoro,"Raúl Arévalo, Aura Garrido, Hugo Arbues, Belén Cuesta, Antonio Dechent, Aitor Luna, Sergio Mur",Spain,2018,R,500000.0,500000.0,79.0,245142.0,"Horror,",Netflix
161,Romina,Diego Cohen,"Francisca Lozano, Oliver Nava, Arantza Ruiz, Claudia Zepeda, Walter Bercht, Roberto Beck, Victor Bonilla, Eduardo Negrete",Mexico,2018,R,0.0,0.0,74.0,535488.0,"Horror,Thriller,",Netflix
162,The Maus,Yayo Herrero,"Alma Terzic, August Wittgenstein, Aleksandar Seksan, Sanin Milavic, Diana Fernández Pérez, Ella Jazz",Spain,2017,R,2395510.0,0.0,90.0,461931.0,"Drama,Fantasy,Horror,",Netflix
163,TAU,Federico D'Alessandro,"Maika Monroe, Ed Skrein, Gary Oldman",United States,2018,R,0.0,0.0,97.0,411143.0,"Science Fiction,Thriller,Horror,",Netflix
164,Family Blood,Sonny Mallhi,"James Ransone, Vinessa Shaw, Ajiona Alexus, Colin Ford",United States,2018,R,0.0,0.0,92.0,511449.0,"Horror,Thriller,",Netflix
165,Sometimes,Priyadarshan,"Prakash Raj, Shreya Reddy, Ashok Selvan",India,2016,PG-13,0.0,0.0,97.0,27769.0,"Horror,TV Movie,",Netflix
166,Beyond Skyline,Liam O'Donnell,"Frank Grillo, Bojana Novakovic, Jonny Weston, Callan Mulvey, Antonio Fargas, Yayan Ruhian, Pamelyn Chee, Jacob Vargas, Iko Uwais","United States, Canada, Indonesia, United Kingdom, China, Singapore",2017,R,20000000.0,992181.0,105.0,271404.0,"Action,Science Fiction,Adventure,Horror,",Netflix
167,Day of the Dead: Bloodline,Hèctor Hernández Vicens,"Johnathon Schaech, Sophie Skelton, Marcus Vanco, Jeff Gum, Lillian Blankenship, Ulyana Chan, Shari Watson, Atanas Srebrev",Bulgaria,2018,R,8000000.0,0.0,90.0,485415.0,"Action,Horror,",Netflix
168,Ravenous,Robin Aubert,"Marc-André Grondin, Monia Chokri, Charlotte St-Martin, Brigitte Poupart, Marie-Ginette Guay, Micheline Lanctôt, Édouard Tremblay-Grenier, Luc Proulx, Didier Lucien, Robert Brouillette, Patrick Hivon",Canada,2017,R,12000000.0,0.0,101.0,10212.0,"Horror,Western,Adventure,",Netflix
169,Veronica,Paco Plaza,"Sandra Escacena, Claudia Placer, Bruna González, Iván Chavero, Ana Torrent, Consuelo Trujillo",Spain,2017,R,0.0,0.0,105.0,441701.0,"Horror,",Netflix
170,The Ritual,David Bruckner,"Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton","United Kingdom, Canada",2018,R,1000000.0,1786396.0,94.0,433808.0,"Horror,Thriller,Mystery,",Netflix
171,The Cloverfield Paradox,Julius Onah,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz, Chris O'Dowd, Aksel Hennie, Zhang Ziyi, Elizabeth Debicki, Roger Davies, Clover Nee",United States,2018,PG-13,45000000.0,0.0,102.0,384521.0,"Horror,Science Fiction,Action,Thriller,",Netflix
172,The Open House,"Matt Angel, Suzanne Coote","Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins, Aaron Abrams, Edward Olson, Katie Walder, Paul Rae","Canada, United States",2018,R,0.0,0.0,94.0,485774.0,"Horror,Thriller,",Netflix
173,The House Next Door,Milind Rau,"Siddharth, Andrea Jeremiah, Anisha Victor, Atul Kulkarni, Suresh, Prakash Belawadi",India,2017,R,0.0,2893660.0,97.0,583116.0,"Comedy,Horror,",Netflix
174,Before I Wake,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay, Annabeth Gish, Dash Mihok, Jay Karnes, Lance E. Nichols",United States,2016,PG-13,0.0,3295624.0,97.0,301804.0,"Drama,Fantasy,Horror,Thriller,",Netflix
175,Creep 2,Patrick Brice,"Mark Duplass, Desiree Akhavan, Karan Soni",United States,2017,R,0.0,0.0,80.0,396493.0,"Horror,Thriller,",Netflix
176,Temple,Michael Barrett,"Logan Huffman, Natalia Warner, Brandon Sklenar, Naoto Takenaka, Asahi Uchida, Mei Kurokawa, Hisashi Miyazawa, Miho Tamaki, Seiki Chiba, Yoshimi Tachi","Japan, United States",2017,R,0.0,0.0,78.0,467239.0,"History,Horror,",Netflix
177,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,2017,R,0.0,0.0,102.0,452507.0,"Horror,Crime,Drama,",Netflix
178,Gerald's Game,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",United States,2017,R,0.0,0.0,104.0,343674.0,"Horror,Thriller,",Netflix
179,The Bad Batch,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross",United States,2016,R,6000000.0,180851.0,119.0,316154.0,"Drama,Horror,Science Fiction,",Netflix
180,Little Evil,Eli Craig,"Adam Scott, Evangeline Lilly, Bridget Everett, Owen Atlas, Chris D'Elia, Donald Faison, Clancy Brown, Tyler Labine, Kyle Bornheimer, Carla Gallo, Brad Williams, Sally Field",United States,2017,R,0.0,0.0,94.0,346671.0,"Comedy,Horror,",Netflix
181,Berlin Syndrome,Cate Shortland,"Matthias Habich, Max Riemelt, Teresa Palmer, Lucie Aron, Emma Bading",Australia,2017,R,0.0,397783.0,116.0,363126.0,"Mystery,Thriller,Drama,Horror,",Netflix
182,Demonic,Will Canon,"Maria Bello, Frank Grillo, Cody Horn, Dustin Milligan, Megan Park, Scott Mechlowicz, Aaron Yoo, Alex Goode, Terence Rosemore, Jesse Steccato",United States,2015,R,0.0,0.0,104.0,774021.0,"Drama,Horror,Science Fiction,",Netflix
183,The Devil's Mistress,Filip Renc,"Tatiana Pauhofová, Karl Markovics, Gedeon Burkhard, Simona Stasová, Martin Huba, Pavel Kríz, Zdenka Procházková, Anna Fialová, Lenka Vlasáková, Jirí Mádl","Czech Republic, Slovakia",2016,R,0.0,0.0,66.0,329711.0,"Horror,Western,",Netflix
184,Clinical,Alistair Legrand,"Vinessa Shaw, Kevin Rahm, William Atherton, Aaron Stanford, Wilmer Calderon, Sydney Tamiia Poitier, India Eisley, Nestor Serrano",United States,2017,R,0.0,0.0,104.0,433244.0,"Thriller,Horror,",Netflix
185,Mr. Pig,Diego Luna,"Danny Glover, Maya Rudolph, José María Yazpik, Joel Murray, Angélica Aragón, Gabriela Araujo",Mexico,2016,R,0.0,0.0,81.0,688146.0,"Horror,",Netflix
186,I Am the Pretty Thing That Lives in the House,Osgood Perkins,"Ruth Wilson, Bob Balaban, Lucy Boynton, Paula Prentiss","Canada, United States",2016,PG-13,0.0,0.0,89.0,407559.0,"Horror,Thriller,",Netflix
187,Hush,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan, Emma Graves",United States,2016,R,0.0,0.0,82.0,376570.0,"Horror,Thriller,",Netflix
188,He Never Died,Jason Krawczyk,"Henry Rollins, Booboo Stewart, Kate Greenhouse, Jordan Todosey, David Richmond-Peck, James Cade, Don Francks, Steven Ogg",Canada,2015,R,0.0,0.0,99.0,279690.0,"Comedy,Drama,Fantasy,Horror,",Netflix
189,Creep,Patrick Brice,"Mark Duplass, Patrick Brice",United States,2014,R,0.0,0.0,85.0,8555.0,"Horror,Thriller,Mystery,",Netflix
190,Splatter,Joe Dante,"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",United States,2009,R,0.0,0.0,77.0,30996.0,"Horror,Mystery,Thriller,",Netflix
191,Ég man þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,2017,R,2408070.0,0.0,105.0,423236.0,"Drama,Mystery,Thriller,Horror,",Netflix
192,13 Cameras,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,2015,NR,0.0,0.0,87.0,347751.0,"Drama,Horror,Crime,",Netflix
193,13 Sins,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",United States,2014,R,5000000.0,13809.0,93.0,155084.0,"Horror,Thriller,",Netflix
194,14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,2018,R,0.0,0.0,90.0,534235.0,"Horror,Thriller,",Netflix
195,1BR,David Marmor,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",United States,2019,R,0.0,0.0,90.0,611605.0,"Thriller,Drama,Horror,",Netflix
196,1st Summoning,Raymond Wood,"Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald",United States,2018,R,0.0,0.0,97.0,583046.0,"Horror,",Netflix
197,28 Days,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste",United States,2000,PG-13,5000000.0,85720385.0,113.0,170.0,"Horror,Thriller,Science Fiction,",Netflix
198,6-5=2,Bharat Jain,"Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor, Niharica Raizada, Ashrut Jain, Darshan Machamada",India,2014,R,0.0,0.0,102.0,485510.0,"Horror,",Netflix
199,A Haunted House,Michael Tiddes,"Marlon Wayans, Essence Atkins, Cedric the Entertainer, Nick Swardson, David Koechner, Dave Sheridan, Affion Crockett, J.B. Smoove, Andrew Daly, Alanna Ubach",United States,2013,R,2500000.0,60141683.0,86.0,139038.0,"Comedy,Horror,",Netflix
200,A Haunting at Silver Falls: The Return,Teo Konuralp,"Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey",United States,2019,PG-13,0.0,0.0,79.0,609064.0,"Horror,",Netflix
201,A.M.I.,Rusty Nixon,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",Canada,2019,R,0.0,0.0,77.0,612587.0,"Horror,",Netflix
202,Adrishya,Sandeep Chatterjee,"Ravi Kumar, Ayesha Singh, Nishat Mallick, Archana Kotwal, Rakesh Chaturvedi Om, Nidhi Mahavan, Abhijit Sinha, Abdur Rehman",India,2017,PG-13,0.0,0.0,106.0,538123.0,"Drama,Family,Horror,",Netflix
203,Aftershock,Nicolás López,"Eli Roth, Andrea Osvárt, Ariel Levy, Natasha Yarovenko, Nicolás Martínez, Lorenza Izzo, Marcial Tagle, Ramón Llao, Ignacia Allamand, Paz Bascuñán","United States, Chile",2012,R,2000000.0,58510.0,89.0,123103.0,"Horror,Thriller,",Netflix
204,All Hallows' Eve,Charlie Vaughn,"Lexi Giovagnoli, Ashley Argota, John DeLuca, Diane Salinger, Martin Klebba, Tracey Gold, Dee Wallace, Pilot Paisley-Rose, Daniel Cooksley, Vincent Giovagnoli, Dillon Cavitt",United States,2016,G,0.0,0.0,82.0,231001.0,"Horror,",Netflix
205,All Light Will End,Chris Blake,"Ashley Pereira, Alexandra Harris, Ted Welch, Sam Jones III, Sarah Butler, Andy Buckley, Graham Outerbridge, Michael James Thomas, John Schuck, Aaron Munoz",United States,2018,R,0.0,0.0,85.0,513510.0,"Horror,Thriller,",Netflix
206,All the Boys Love Mandy Lane,Jonathan Levine,"Anson Mount, Edwin Hodge, Michael Welch, Brooke Bloom, Amber Heard, Aaron Himelstein, Whitney Able, Luke Grimes, Melissa Price",United States,2006,R,750000.0,0.0,90.0,9022.0,"Horror,Mystery,Thriller,",Netflix
