,title,budget,revenue,runtime,movie_id,genre
206,Us Again,0,0,7,779047,"Animation,Drama,Family,"
207,American Eid,0,0,21,818336,"Drama,"
209,Dinner Is Served,0,0,21,818342,"Drama,"
211,Growing Fangs,0,0,19,818356,"Drama,"
213,Let's Be Tigers,0,0,15,818367,"Drama,"
214,The Last of the Chupacabras,0,0,14,818361,"Family,Fantasy,"
215,The Little Prince(ss),0,0,19,818370,"Family,Drama,"
220,Tinker Bell and the Legend of the NeverBeast,0,0,77,297270,"Adventure,Animation,Family,"
225,X-Men: The Last Stand,210000000,459359555,104,36668,"Adventure,Action,Science Fiction,Thriller,"
227,Fantastic Four: Rise of the Silver Surfer,130000000,301913131,92,1979,"Adventure,Fantasy,Action,Thriller,"
229,Wild Hearts Can't Be Broken,0,0,88,23438,"Drama,Family,"
230,"Maggie Simpson in ""The Force Awakens from its Nap""",0,0,3,825597,"Family,Animation,Comedy,Science Fiction,"
231,Star Wars Biomes,0,0,18,825647,"Science Fiction,Documentary,"
235,22 vs. Earth,0,0,9,811367,"Family,Comedy,Fantasy,Animation,"
237,Disney My Music Story SUKIMASWITCH,,,,,
239,Oklahoma!,0,0,148,13936,"Western,Music,Romance,"
240,Baby's Day Out,50000000,16671505,99,11212,"Family,Comedy,Adventure,Crime,Drama,"
241,Being the Queen,0,0,45,759993,"Documentary,"
247,Rio,90000000,484635760,96,46195,"Animation,Adventure,Comedy,Family,"
248,The Kid Who Would Be King,59000000,32140970,120,454294,"Action,Adventure,Fantasy,Family,"
249,Treasure Buddies,0,0,93,78047,"Adventure,Family,"
250,White Fang 2: Myth of the White Wolf,0,0,106,43643,"Adventure,Family,"
251,Cesar Millan: The Real Story,0,0,45,274989,"Documentary,"
254,Man of the House,40000000,21577624,100,13498,"Comedy,Action,"
255,Mark Twain and Me,0,0,93,103926,"Drama,TV Movie,"
256,Squanto: A Warrior's Tale,0,3337685,102,65158,"Adventure,"
257,Caravan of Courage: An Ewok Adventure,3000000,0,96,1884,"Adventure,Family,Fantasy,Science Fiction,TV Movie,"
258,Ewoks: The Battle for Endor,0,0,100,10372,"Adventure,Family,TV Movie,"
260,Island at the Top of the World,0,0,93,42453,"Adventure,Fantasy,Action,Science Fiction,Family,"
262,Night at the Museum,110000000,574480841,108,1593,"Action,Adventure,Comedy,Family,Fantasy,"
264,Sharks Of The Bermuda Triangle,0,0,44,806707,"Documentary,"
266,Star Wars Vintage: Story of the Faithful Wookiee,,,,,
268,The Big Year,41000000,8179416,100,73937,"Comedy,"
269,The Last Ice,500000,0,83,742241,"Documentary,"
270,Third Man on the Mountain,0,0,105,64867,"Adventure,Drama,Family,"
272,Gnomeo & Juliet,36000000,189712432,84,45772,"Animation,Family,"
276,Disney My Music Story: Perfume,0,0,71,800740,"Music,Documentary,"
279,Doc McStuffins: The Doc Is In,0,0,24,773661,
281,Miss Peregrine's Home for Peculiar Children,110000000,296482446,127,283366,"Fantasy,Adventure,Family,Drama,"
282,Own the Room,0,0,91,794836,"Documentary,"
283,Garfield: A Tail of Two Kitties,60000000,141702264,78,9513,"Animation,Comedy,Family,Adventure,"
290,Myth: A Frozen Tale,0,0,11,816688,"Animation,Family,Fantasy,"
291,Okavango: River of Dreams,0,0,0,653750,"Documentary,"
294,Shanghai Disney Resort Grand Opening Gala,0,0,25,787929,"Music,"
295,Cheaper By the Dozen,0,0,107,691683,"Family,Comedy,"
296,Cheaper by the Dozen 2,60000000,129181830,94,9641,"Comedy,Family,Adventure,"
297,Flora & Ulysses,0,0,91,621876,"Family,Adventure,Comedy,Fantasy,"
298,The Book of Life,50000000,97437106,95,228326,"Animation,Adventure,Comedy,Family,Fantasy,"
301,Marvel's Behind the Mask,0,0,64,787923,"Documentary,"
302,Rodgers & Hammerstein's Cinderella,0,0,60,768000,
303,You Again,20000000,32054369,105,38303,"Comedy,Romance,"
304,Disney My Music Story: Yoshiki,0,0,47,787922,"Music,Documentary,"
305,Expedition Everest,0,0,45,722836,"Documentary,"
306,Upside-Down Magic,0,0,96,671583,"Fantasy,Family,TV Movie,"
309,Texas Storm Squad,0,0,44,776525,"Documentary,"
311,Wild Uganda,0,0,45,776513,"Documentary,"
