,title,budget,revenue,runtime,movie_id,genre
169,The Secret Diary of an Exchange Student,0,0,96,760154,"Comedy,Romance,"
170,Untold: Deal With the Devil,0,0,77,857729,"Documentary,"
171,Walk of Shame,0,8122990,95,187596,"Comedy,"
172,The Piano,7000000,40185556,121,713,"Drama,Romance,"
173,Unroyal,0,0,97,861653,"Drama,"
174,Beckett,0,0,109,597433,"Crime,Mystery,Thriller,"
175,Lokillo: Nothing's the Same,0,0,64,857910,"Comedy,"
176,Monster Hunter: Legends of the Guild,0,0,58,851281,"Animation,Adventure,Action,Fantasy,"
177,Brother Jekwu,0,0,102,860098,"Comedy,Crime,"
178,La diosa del asfalto,0,0,126,572637,"Drama,"
179,Misha and the Wolves,0,0,90,776552,"Documentary,"
180,The Kissing Booth 3,0,0,112,727745,"Romance,Comedy,"
181,The Railway Man,18000000,24174885,116,127560,"Drama,History,"
182,Untold: Malice at the Palace,0,0,69,857497,"Documentary,Crime,"
183,Quartet,11000000,59520298,98,121826,"Drama,Comedy,Romance,"
184,Slay,0,0,78,12591,"Comedy,Fantasy,Horror,"
185,Takizawa Kabuki ZERO 2020 The Movie,0,0,140,859323,"Music,"
186,The Paper Tigers,0,0,108,731738,"Action,Comedy,"
187,Quam's Money,0,0,114,854291,"Comedy,Crime,Adventure,Action,"
188,The Swarm,21000000,7700000,116,46878,"Thriller,Science Fiction,"
189,Vivo,0,0,103,449406,"Animation,Family,Comedy,"
190,Chennai Express,18000000,62000000,141,205022,"Romance,Comedy,Action,"
191,City of God: 10 Years Later,0,0,69,300605,"Documentary,"
192,Esperando la carroza,0,0,87,13651,"Comedy,"
193,Lady Boss: The Jackie Collins Story,0,0,96,801646,"Documentary,"
194,Tango Feroz,0,0,124,73857,"Drama,Music,"
195,'76,0,0,94,253312,"Drama,Comedy,Science Fiction,"
196,Aftermath,10500000,261465,92,390051,"Drama,Thriller,"
197,American Masters: Inventing David Geffen,,,,,
198,Heavy,9300000,20100000,90,11827,"Animation,Science Fiction,Adventure,Fantasy,Music,"
199,Ije: The Journey,0,0,106,290768,"Drama,"
200,Pray Away,0,0,101,685264,"Documentary,"
201,Shiny_Flakes: The Teenage Drug Lord,0,0,96,850329,"Documentary,Crime,"
202,Beethoven,0,147214049,87,11806,"Family,Comedy,"
203,Beethoven's 2nd,15000000,118243066,89,10438,"Family,Comedy,"
204,Beowulf,70000000,195735876,115,2310,"Adventure,Action,Animation,"
205,Boyka: Undisputed,0,0,87,348893,"Action,Drama,"
206,Catch Me If You Can,52000000,352114312,141,640,"Drama,Crime,"
207,Cloudy with a Chance of Meatballs,78000000,248384621,95,109451,"Animation,Family,Comedy,"
208,Deep Blue Sea,5000000,0,100,703745,"Action,Horror,Science Fiction,"
209,Ferris Bueller's Day Off,6000000,70136369,103,9377,"Comedy,"
210,Five Feet Apart,7000000,91500000,116,527641,"Romance,Drama,"
211,Freedomland,37665000,14655628,113,9959,"Drama,Thriller,Crime,Mystery,"
212,Good Luck Chuck,25000000,59192128,101,10030,"Comedy,"
213,I missed you: Director's Cut,0,0,96,778913,"Romance,Drama,"
214,Inception,160000000,825532764,148,27205,"Action,Science Fiction,Adventure,"
215,Magnolia,37000000,48451803,189,334,"Drama,"
216,Major Payne,0,30112050,95,11008,"Adventure,Comedy,Family,"
217,My Girl,17000000,59490000,103,4032,"Comedy,Drama,"
218,My Girl 2,0,28000000,99,11317,"Comedy,Family,"
219,Open Season: Scared Silly,0,0,84,382517,"Animation,Comedy,Family,Adventure,"
220,Pineapple Express,27000000,101624843,111,10189,"Action,Comedy,Crime,"
221,Planet 51,70000000,104945765,91,16866,"Animation,Family,Comedy,Science Fiction,Adventure,"
222,Poms,0,8600192,91,574241,"Comedy,Drama,"
223,Seabiscuit,87000000,148336445,141,4464,"Drama,History,"
224,Space Cowboys,65000000,128884132,130,5551,"Action,Adventure,Thriller,"
225,Team America: World Police,32000000,50907422,98,3989,"Adventure,Action,Comedy,"
226,The Edge of Seventeen,9000000,18803648,105,376660,"Comedy,Drama,"
227,The Haunting in Connecticut 2: Ghosts of Georgia,9000000,0,101,150202,"Horror,Drama,Thriller,"
228,The Last Boy Scout,29000000,59509925,105,9319,"Action,Thriller,"
229,The Lincoln Lawyer,40000000,85412898,119,50348,"Crime,Drama,Thriller,"
230,The Losers,25000000,23580000,97,34813,"Action,Adventure,Crime,Mystery,Thriller,"
231,The Machinist,5000000,8203235,101,4553,"Thriller,Drama,"
232,The Net,22000000,110627965,114,1642,"Crime,Drama,Mystery,Thriller,Action,"
233,The Original Kings of Comedy,13000000,38251106,115,23618,"Comedy,Documentary,"
234,Valentine's Day,52000000,216485654,125,32856,"Comedy,Romance,"
235,The Lost Café,0,0,76,588079,"Comedy,Drama,"
236,The Vault,0,0,118,630004,"Crime,Action,Thriller,"
237,Eyes of a Thief,0,0,98,295621,"Drama,"
238,I'm Glad I Did,0,0,123,752973,"Documentary,"
239,Pomegranates and Myrrh,980000,0,95,74300,"Drama,"
240,Rurouni Kenshin: The Beginning,0,0,138,672322,"Action,Adventure,Drama,"
241,The Last Mercenary,0,0,110,729720,"Action,Comedy,"
242,Flower Girl,0,0,0,82100,"Comedy,Music,Romance,TV Movie,"
243,Resort to Love,0,0,101,785539,"Romance,Comedy,"
244,Bartkowiak,0,0,91,809968,"Action,Thriller,"
245,Fantastic Fungi,0,1096179,81,612654,"Documentary,"
246,Department,3200000,4800000,141,117784,"Action,Thriller,"
247,Hostage House,0,0,90,814853,"Thriller,TV Movie,"
248,Mimi,0,0,113,56153,"Comedy,"
249,The Operative,0,1431904,120,574207,"Drama,Thriller,"
250,Django Unchained,100000000,425368238,165,68718,"Drama,Western,"
